call to Robot/MoveCC
0.057697 0 36 0.000000
0.101303 0 36 0.000000
0.139964 -1 36 -21.933083
0.197275 -1 40 -27.664163
0.240066 -1 40 -31.943196
0.294044 0 51 -14.642129
0.344895 0 55 -14.642129
0.395201 0 57 -14.642129
0.449262 0 63 -14.642129
0.490025 0 67 -14.642129
0.539483 0 76 -14.642129
0.587840 0 77 -14.642129
0.627463 0 84 -14.642129
0.664066 0 86 -14.642129
0.700692 0 93 -14.642129
0.745271 0 94 -14.642129
0.788057 0 101 -14.642129
0.829935 0 103 -14.642129
0.874968 0 109 -14.642129
0.915031 1 114 7.361002
0.957044 1 113 11.562315
0.999966 1 128 15.854527
1.046664 1 130 20.524356
1.085870 1 137 24.444890
1.135557 1 145 29.413627
1.177191 1 145 33.577031
1.219321 1 149 37.789998
1.265081 1 156 42.366048
1.309601 1 162 46.818056
1.347409 1 166 50.598856
1.383736 1 166 54.231531
1.424008 1 170 58.258752
1.466578 1 170 62.515727
1.506955 1 175 66.553394
1.555990 0 179 49.005190
1.600928 0 183 49.005190
1.640091 0 184 49.005190
1.679470 0 189 49.005190
1.724077 0 191 49.005190
1.760097 0 190 49.005190
1.806064 0 198 49.005190
1.849075 -1 205 26.854629
1.891067 -1 219 22.655475
1.925669 -1 220 19.195258
1.965988 -1 228 15.163404
2.009268 -1 235 10.835337
2.054735 -1 236 6.288679
2.089214 -1 236 2.840721
2.127476 -2 243 -22.898467
2.199279 -2 249 -37.259125
2.247185 -1 259 -24.445013
2.284076 -1 263 -28.134133
2.319754 -1 273 -31.701908
2.365618 -1 276 -36.288354
2.407887 -1 278 -40.515246
2.455940 -1 280 -45.320575
2.495701 -1 282 -49.296592
2.539603 -1 279 -53.686821
2.589775 0 282 -36.195406
2.625998 0 286 -36.195406
2.660985 0 288 -36.195406
2.705928 0 289 -36.195406
2.745313 0 294 -36.195406
2.787217 0 297 -36.195406
2.833909 0 302 -36.195406
2.874813 1 308 -14.150219
2.917079 1 322 -9.923598
2.965225 1 326 -5.108994
3.020881 1 321 0.456594
3.059518 1 326 4.320231
3.106096 1 329 8.978031
3.147949 2 336 35.255981
3.185757 1 345 20.927300
3.220092 1 340 24.360758
3.264750 1 353 28.826608
3.305952 1 357 32.946796
3.351008 1 361 37.452329
3.393845 1 366 41.736038
3.429077 1 365 45.259229
3.465429 1 376 48.894417
3.512849 1 376 53.636425
3.549752 1 380 57.326721
3.593916 1 384 61.743142
3.629429 0 389 43.518777
3.669591 0 393 43.518777
3.709583 0 397 43.518777
3.751349 0 399 43.518777
3.798783 0 401 43.518777
3.834855 0 401 43.518777
3.875623 0 408 43.518777
3.913697 -1 410 21.615092
3.949781 -1 411 18.006742
3.988606 -1 416 14.124192
4.023757 -1 420 10.609121
4.060917 -1 429 6.893104
4.103988 -1 428 2.586013
4.143982 -1 433 -1.413387
4.187167 -1 437 -5.731925
4.227915 -1 443 -9.806746
4.270566 -1 448 -14.071825
4.314095 -1 452 -18.424704
4.347638 -1 454 -21.778996
4.389495 -1 460 -25.964696
4.425876 0 464 -7.783742
4.469499 0 464 -7.783742
4.506090 0 471 -7.783742
4.548986 0 475 -7.783742
4.589110 0 474 -7.783742
4.619554 0 481 -7.783742
4.659334 0 483 -7.783742
4.701148 0 490 -7.783742
4.735624 0 491 -7.783742
4.777583 0 496 -7.783742
4.819801 0 500 -7.783742
4.865852 0 506 -7.783742
4.899594 0 509 -7.783742
4.938051 0 519 -7.783742
4.978002 0 519 -7.783742
5.020963 0 518 -7.783742
5.057293 0 523 -7.783742
5.097967 0 532 -7.783742
5.137680 0 534 -7.783742
5.180943 0 544 -7.783742
5.224840 0 544 -7.783742
5.260017 0 551 -7.783742
5.298017 0 555 -7.783742
5.348790 0 561 -7.783742
5.390970 0 563 -7.783742
5.435592 1 572 14.447348
5.474858 1 574 18.373919
5.513979 1 582 22.286044
5.547701 1 580 25.658244
5.585908 1 588 29.478985
5.620583 0 590 11.212725
5.663671 0 595 11.212725
5.699389 0 605 11.212725
5.737465 0 607 11.212725
5.765947 0 605 11.212725
5.813389 0 609 11.212725
5.848851 0 617 11.212725
5.886060 0 626 11.212725
5.924087 0 626 11.212725
5.965314 0 641 11.212725
6.005583 0 639 11.212725
6.039900 0 639 11.212725
6.075989 0 651 11.212725
6.117401 0 649 11.212725
6.156110 0 661 11.212725
6.195189 0 661 11.212725
6.229053 0 670 11.212725
6.277810 0 681 11.212725
6.309644 0 680 11.212725
6.353926 0 702 11.212725
6.393891 0 720 11.212725
6.430797 0 730 11.212725
6.470777 0 736 11.212725
6.515609 0 736 11.212725
6.547696 0 734 11.212725
6.586923 0 736 11.212725
6.629343 0 736 11.212725
6.670486 0 736 11.212725
6.708698 0 742 11.212725
6.749343 0 742 11.212725
6.788782 0 742 11.212725
6.819788 0 742 11.212725
6.861095 0 742 11.212725
6.900079 0 742 11.212725
6.939369 0 742 11.212725
6.978014 0 742 11.212725
7.024731 0 742 11.212725
7.065581 -1 742 -10.829817
7.109399 0 742 6.979304
7.145284 -1 742 -14.814931
7.190815 -1 754 -19.368102
7.230687 -1 754 -23.355298
7.265838 -1 778 -26.870394
7.309528 0 766 -9.054887
7.350891 -1 756 -31.123050
7.389121 0 770 -13.034544
7.428901 0 774 -13.034544
7.466110 0 780 -13.034544
7.507150 0 778 -13.034544
7.545028 0 780 -13.034544
7.589396 0 784 -13.034544
7.629618 0 796 -13.034544
7.667927 0 796 -13.034544
7.717697 0 794 -13.034544
7.757192 1 804 8.940221
7.799480 1 810 13.169025
7.838006 1 812 17.021679
7.877984 1 818 21.019425
7.921345 1 823 25.355546
7.961049 1 826 29.325950
8.003948 1 833 33.615817
8.039199 1 833 37.140975
8.075303 1 839 40.751354
8.114101 1 839 44.631175
8.156045 0 847 26.728371
8.203917 0 847 26.728371
8.239435 0 849 26.728371
8.276029 0 855 26.728371
8.317117 0 857 26.728371
8.359298 0 863 26.728371
8.395927 0 877 26.728371
8.439301 0 872 26.728371
8.475756 0 872 26.728371
8.519179 -1 878 4.557242
8.557671 0 885 22.632615
8.599738 -1 891 0.529277
8.639982 0 895 18.517090
8.677255 -1 894 -3.346554
8.715834 -1 903 -7.204479
8.749706 -1 902 -10.591667
8.790832 -1 908 -14.704308
8.826001 -1 913 -18.221162
8.867314 -1 916 -22.352537
8.905731 -1 921 -26.194204
8.938583 -1 916 -29.479404
8.975928 -1 929 -33.213929
9.025883 -1 929 -38.209396
9.069351 0 925 -20.382808
9.115687 0 939 -20.382808
9.158088 0 939 -20.382808
9.193881 0 945 -20.382808
9.235966 0 951 -20.382808
9.274570 0 951 -20.382808
9.314004 0 951 -20.382808
9.345647 0 951 -20.382808
9.387757 0 951 -20.382808
9.427625 1 951 1.610610
9.470648 1 951 5.912952
9.509848 1 951 9.832873
9.540024 1 951 12.850523
9.577101 1 951 16.558215
9.617340 1 951 20.582098
9.653937 1 951 24.241844
9.689247 1 993 27.772827
call to Robot/Rotate
