call to Robot/MoveCC
0.056598 0 31 0.000000
0.096185 0 31 0.000000
0.151278 -1 36 -35.233787
0.192976 -1 38 -43.156447
0.229901 -1 40 -50.172276
0.273815 -1 40 -58.515833
0.335974 -1 49 -70.326043
0.396079 0 59 -46.035987
0.445058 0 59 -46.035987
0.496147 0 67 -46.035987
0.539727 0 72 -46.035987
0.587690 0 67 -46.035987
0.630164 0 77 -46.035987
0.678808 1 84 -11.414819
0.729872 1 86 -1.712801
0.775774 1 93 7.008571
0.833408 1 99 17.959110
0.876717 1 103 26.187780
0.935252 1 113 37.309407
0.978099 1 120 45.450368
1.026180 1 126 54.585806
1.059443 1 130 60.905776
1.106080 1 130 69.766750
1.151428 1 135 78.382839
1.189504 1 139 85.617350
1.234028 1 137 94.077013
1.271343 0 147 67.621859
1.305480 0 149 67.621859
1.339996 0 154 67.621859
1.375725 0 156 67.621859
1.424754 0 157 67.621859
1.466186 -1 164 33.685850
1.518644 -1 170 23.718862
1.569432 -1 175 14.069126
1.613891 -1 175 5.621932
1.657189 -1 174 -2.604688
1.699612 -1 181 -10.665137
1.748167 -1 185 -19.890563
1.785287 -1 184 -26.943427
1.834774 -1 184 -36.345917
1.875949 -1 199 -44.169112
1.927493 -1 204 -53.962567
1.979655 0 249 -28.917921
2.025657 0 251 -28.917921
2.065816 0 241 -28.917921
2.109359 0 241 -28.917921
2.149580 0 237 -28.917921
2.194932 0 241 -28.917921
2.239451 0 241 -28.917921
2.275623 0 243 -28.917921
2.320781 0 251 -28.917921
2.359639 0 257 -28.917921
2.418095 1 259 6.635438
2.455029 0 265 -19.855859
2.506702 1 267 15.053060
2.569136 0 273 -9.015631
2.614051 1 279 25.251231
2.667111 1 280 35.332702
2.707946 1 281 43.091289
2.761347 1 288 53.237518
2.804063 0 289 27.295483
2.839190 0 298 27.295483
2.885306 0 296 27.295483
2.930924 0 297 27.295483
2.980161 0 303 27.295483
3.020868 0 308 27.295483
3.058902 0 321 27.295483
3.099437 0 321 27.295483
3.135650 0 326 27.295483
3.179672 0 330 27.295483
3.225030 0 330 27.295483
3.275291 0 340 27.295483
3.317545 0 340 27.295483
3.355611 0 347 27.295483
3.391285 0 353 27.295483
3.439321 0 357 27.295483
3.477261 0 364 27.295483
3.519352 0 365 27.295483
3.560068 -1 372 -6.572593
3.605611 -1 376 -15.225715
3.652040 -1 383 -24.047233
3.691257 -1 391 -31.498344
3.729917 -1 393 -38.843903
3.771183 -1 401 -46.684451
3.814808 0 408 -20.828818
3.855063 -1 412 -54.652979
3.897953 0 416 -28.727565
3.937155 0 418 -28.727565
3.983651 0 420 -28.727565
4.019787 0 418 -28.727565
4.057272 0 427 -28.727565
4.089773 0 429 -28.727565
4.140940 0 428 -28.727565
4.179149 1 439 4.902357
4.225024 1 439 13.618504
4.266729 1 446 21.542439
4.301286 1 446 28.108316
4.343923 1 452 36.209401
4.381033 1 454 43.260222
4.417946 1 462 50.273787
4.459089 1 462 58.090862
4.497567 1 464 65.401746
4.540186 0 469 39.450539
4.583539 0 473 39.450539
4.618018 0 474 39.450539
4.655625 0 474 39.450539
4.697942 0 483 39.450539
4.734130 0 488 39.450539
4.777858 0 487 39.450539
4.820178 0 492 39.450539
4.864175 0 499 39.450539
4.904084 0 500 39.450539
4.940014 -1 509 6.037232
4.981222 0 509 32.122449
5.027505 -1 511 -2.274417
5.076965 -1 515 -11.671848
5.109540 -1 519 -17.861019
5.161405 -1 525 -27.715361
5.198021 -1 532 -34.672520
5.245798 0 538 -9.211303
5.281343 0 537 -9.211303
5.319568 0 546 -9.211303
5.355392 0 546 -9.211303
5.401166 0 546 -9.211303
5.435367 0 554 -9.211303
5.475385 0 559 -9.211303
5.520147 0 563 -9.211303
5.560104 -1 569 -43.007202
5.607312 0 574 -17.491998
5.658701 0 580 -17.491998
5.700160 0 582 -17.491998
5.739637 0 586 -17.491998
5.774862 0 590 -17.491998
5.819189 0 595 -17.491998
5.860077 0 599 -17.491998
5.897582 0 603 -17.491998
5.945499 0 607 -17.491998
5.995251 0 609 -17.491998
6.043667 0 622 -17.491998
6.081289 0 617 -17.491998
6.124184 1 626 16.583011
6.169657 1 630 25.222952
6.209794 1 639 32.848856
6.255731 1 643 41.577004
6.297709 1 644 49.552722
6.336671 1 653 56.955636
6.379173 1 660 65.030977
6.415851 1 662 71.999678
6.455978 1 668 79.623816
6.495818 0 670 53.408687
6.535600 0 670 53.408687
6.579214 0 672 53.408687
6.619133 0 685 53.408687
6.660146 0 689 53.408687
6.693773 0 685 53.408687
6.736916 -1 693 19.310149
6.775350 -1 702 12.007697
6.815151 -1 706 4.445523
6.855379 -1 705 -3.197892
6.898642 -1 722 -11.417814
6.937927 -2 738 -52.614146
6.981125 -1 744 -34.925362
7.017755 -1 734 -41.885047
7.056099 -1 736 -49.170565
7.091271 -1 736 -55.853158
7.133894 -1 736 -63.951504
7.174685 -1 736 -71.701747
7.221244 -1 736 -80.548028
7.265924 0 736 -54.792675
7.304592 0 736 -54.792675
7.345785 0 736 -54.792675
7.388917 0 736 -54.792675
7.419876 0 736 -54.792675
7.466023 1 756 -20.408691
7.505772 1 758 -12.856420
7.545270 1 772 -5.351768
7.596059 1 773 4.298047
7.646152 1 772 13.815804
7.687857 1 774 21.739769
7.727951 1 786 29.357542
7.767131 1 780 36.801719
7.805772 1 788 44.143596
7.851086 1 794 52.753240
7.887374 1 796 59.648031
7.930809 1 800 67.900665
7.965795 1 804 74.547855
8.009547 1 804 82.860893
8.049788 1 808 90.506557
8.090875 0 812 64.409849
8.127232 0 818 64.409849
8.167851 0 825 64.409849
8.207032 0 827 64.409849
8.246133 0 835 64.409849
8.286527 0 833 64.409849
8.331110 -1 833 30.174476
8.369835 -1 834 22.816790
8.409717 -1 842 15.239075
8.457280 -1 856 6.202255
8.493916 -1 856 -0.758719
8.536168 -1 855 -8.786536
8.567920 -1 857 -14.819345
8.607906 -1 872 -22.416708
8.647514 -1 873 -29.942379
8.686123 -1 879 -37.277962
8.725292 -1 878 -44.720207
8.764914 -1 887 -52.248205
8.805823 -1 893 -60.021097
8.844115 -1 886 -67.296426
8.886851 -1 891 -75.416345
8.927099 -1 899 -83.063513
8.967728 -1 903 -90.782960
9.007992 0 908 -64.608083
9.048125 0 908 -64.608083
9.094137 1 908 -30.236951
9.134605 1 917 -22.547984
9.178077 1 917 -14.288351
9.229123 1 925 -4.589445
9.269869 1 925 3.152169
9.311983 1 931 11.153931
9.345953 1 933 17.608121
9.384144 1 939 24.864379
9.425724 2 947 66.714786
9.459805 1 955 46.427835
9.499368 2 952 87.703302
9.535830 1 954 68.094913
9.575963 1 954 75.720151
9.610078 1 962 82.202088
9.650036 1 964 89.794092
9.690781 1 970 97.535595
9.730164 1 972 105.018484
9.774751 0 976 79.254189
9.809723 0 982 79.254189
9.846187 0 978 79.254189
9.885095 -1 986 45.557961
9.925500 -1 994 37.880916
call to Robot/Rotate
