call to Robot/MoveD
1.830766 1 347 133.332837
1.867843 1 340 137.040567
1.911866 1 339 141.442825
1.955872 1 338 145.843421
1.987726 1 337 149.028867
2.020083 1 336 152.264475
2.058428 1 335 156.099067
2.096166 1 334 159.872796
2.128511 1 329 163.107317
2.254287 1 328 175.684888
2.369865 1 327 187.242754
2.490008 1 330 199.256996
2.609929 1 329 211.249071
2.729715 1 328 223.227679
2.847907 1 330 235.046925
2.967746 1 329 247.030821
3.076082 1 328 257.864387
3.181866 1 330 268.442842
3.291356 1 329 279.391858
3.399631 1 328 290.219304
3.508377 1 330 301.093925
3.617562 1 329 312.012429
3.724662 1 328 322.722387
3.831698 1 330 333.426025
3.940445 1 329 344.300767
4.047559 1 328 355.012121
4.156194 1 330 365.875583
4.264304 1 329 376.686625
4.371564 1 328 387.412667
4.478419 1 330 398.098133
4.587724 1 329 409.028637
4.694477 1 328 419.703875
4.801591 1 330 430.415354
4.909752 1 329 441.231438
5.017492 1 328 452.005433
5.127079 1 330 462.964150
5.235805 1 329 473.836758
5.342352 1 328 484.491388
5.451358 1 330 495.392021
5.560044 1 329 506.260667
5.667803 1 328 517.036475
5.774512 1 330 527.707446
5.881931 1 329 538.449308
5.989493 1 328 549.205558
6.097596 1 330 560.015833
6.204380 1 329 570.694229
6.324348 1 328 582.691058
6.441863 1 330 594.442479
6.562480 1 329 606.504179
6.678314 1 328 618.087667
6.797760 1 330 630.032254
6.917651 1 329 642.021363
7.038396 1 328 654.095771
7.154540 1 334 665.710254
7.184423 1 333 668.698546
7.225509 1 332 672.807167
7.260659 1 331 676.322092
7.269931 1 330 677.249304
call to Robot/Rotate
call to Robot/MoveD
0.013318 0 0 0.000000
0.026126 0 0 0.000000
0.037059 0 0 0.000000
0.047718 0 0 0.000000
0.056627 0 0 0.000000
0.116964 0 0 0.000000
0.129097 -1 0 -30.606602
0.146434 -1 0 -32.340348
0.156531 -1 0 -33.350052
0.201018 -1 0 -37.798802
0.213199 -1 0 -39.016890
0.254818 -1 330 -43.178777
0.268919 -1 329 -44.588860
0.326955 -1 328 -50.392423
0.365388 -1 327 -54.235769
0.378120 -1 326 -55.508965
0.390073 -1 325 -56.704240
0.405879 -1 324 -58.284865
0.420351 -1 323 -59.732031
0.459313 -1 322 -63.628298
0.473272 -1 321 -65.024156
0.510528 -1 330 -68.749794
0.546786 0 329 -40.562650
0.579287 0 329 -40.562650
0.598495 0 329 -40.562650
0.612161 0 329 -40.562650
0.622560 0 329 -40.562650
0.633211 0 329 -40.562650
0.676868 0 329 -40.562650
0.689975 0 329 -40.562650
0.701862 -1 329 -71.156988
0.711809 -1 328 -72.151713
0.721203 -1 327 -73.091100
0.740772 -1 326 -75.048042
0.756790 0 325 -45.848910
0.805699 0 321 -45.848910
0.815402 0 321 -45.848910
0.824852 0 321 -45.848910
0.835025 0 321 -45.848910
0.877833 0 321 -45.848910
0.915881 0 321 -45.848910
0.957243 0 321 -45.848910
0.967392 0 321 -45.848910
0.978249 0 321 -45.848910
1.028417 0 321 -45.848910
1.042106 0 321 -45.848910
1.074774 0 321 -45.848910
1.108437 0 321 -45.848910
1.138852 0 321 -45.848910
1.150881 0 321 -45.848910
1.160943 0 321 -45.848910
1.171126 0 321 -45.848910
1.180194 0 321 -45.848910
1.191699 0 321 -45.848910
1.200387 0 321 -45.848910
1.212183 0 321 -45.848910
1.222461 0 321 -45.848910
1.272494 0 321 -45.848910
1.281909 0 321 -45.848910
1.324936 0 321 -45.848910
1.334552 0 304 -45.848910
1.346161 0 304 -45.848910
1.356126 0 304 -45.848910
1.420358 0 304 -45.848910
1.431018 0 304 -45.848910
1.442135 0 304 -45.848910
1.452597 0 304 -45.848910
1.521100 0 304 -45.848910
1.555355 0 304 -45.848910
1.600334 0 290 -45.848910
1.650708 0 290 -45.848910
1.661795 0 290 -45.848910
1.709809 0 290 -45.848910
1.720326 0 290 -45.848910
1.751848 0 290 -45.848910
1.760573 0 290 -45.848910
1.770399 0 290 -45.848910
1.780256 0 290 -45.848910
1.846613 0 290 -45.848910
1.880286 0 282 -45.848910
1.891980 0 282 -45.848910
1.901812 0 282 -45.848910
1.911714 0 282 -45.848910
1.921674 0 282 -45.848910
1.966274 0 282 -45.848910
2.000680 0 282 -45.848910
2.011667 0 282 -45.848910
2.066433 0 282 -45.848910
2.078139 0 282 -45.848910
2.088708 0 282 -45.848910
2.101148 0 282 -45.848910
2.133179 0 271 -45.848910
2.263234 0 271 -45.848910
2.371833 0 271 -45.848910
2.478348 0 265 -45.848910
2.480348 0 265 -45.848910
2.482147 0 265 -45.848910
2.484504 0 265 -45.848910
2.485853 0 265 -45.848910
2.487243 0 265 -45.848910
2.490761 0 265 -45.848910
2.492198 0 265 -45.848910
2.494584 0 265 -45.848910
2.495921 0 265 -45.848910
2.497079 0 265 -45.848910
2.502026 0 265 -45.848910
2.529992 0 265 -45.848910
2.531654 0 265 -45.848910
2.534027 0 265 -45.848910
2.536021 0 265 -45.848910
2.537181 0 265 -45.848910
2.539736 0 265 -45.848910
2.541056 0 265 -45.848910
2.542528 0 265 -45.848910
2.544870 0 265 -45.848910
2.546203 0 265 -45.848910
2.547638 0 265 -45.848910
2.569270 0 265 -45.848910
2.571408 0 265 -45.848910
2.573352 0 265 -45.848910
2.576166 0 265 -45.848910
2.577618 0 265 -45.848910
2.578695 0 265 -45.848910
2.584895 0 265 -45.848910
2.614008 0 265 -45.848910
2.615199 0 265 -45.848910
2.618417 0 265 -45.848910
2.620538 0 265 -45.848910
2.623138 0 265 -45.848910
2.624891 0 265 -45.848910
2.626570 0 265 -45.848910
2.629005 0 265 -45.848910
2.630717 0 265 -45.848910
2.634544 0 265 -45.848910
2.636406 0 265 -45.848910
2.638299 0 265 -45.848910
2.639823 0 265 -45.848910
2.641256 0 265 -45.848910
2.643365 0 265 -45.848910
2.645752 0 265 -45.848910
2.647802 0 265 -45.848910
2.648970 0 265 -45.848910
2.651073 0 265 -45.848910
2.652484 0 265 -45.848910
2.656647 0 265 -45.848910
2.658434 0 265 -45.848910
2.661825 0 265 -45.848910
2.664666 0 265 -45.848910
2.666001 0 265 -45.848910
2.667156 0 265 -45.848910
2.668525 0 265 -45.848910
2.670029 0 265 -45.848910
2.671163 0 265 -45.848910
2.672560 0 265 -45.848910
2.676684 0 265 -45.848910
2.678089 0 265 -45.848910
2.679254 0 265 -45.848910
2.682303 0 265 -45.848910
2.684739 0 265 -45.848910
2.687355 0 265 -45.848910
2.692036 0 265 -45.848910
2.697008 0 265 -45.848910
2.698432 0 265 -45.848910
2.700723 0 265 -45.848910
2.702141 0 265 -45.848910
2.704717 0 265 -45.848910
2.706043 0 265 -45.848910
2.709255 0 265 -45.848910
2.711925 0 265 -45.848910
2.713380 0 265 -45.848910
2.715671 0 265 -45.848910
2.720014 0 265 -45.848910
2.742282 0 265 -45.848910
2.745302 0 265 -45.848910
2.747029 0 265 -45.848910
2.748406 0 265 -45.848910
2.749942 0 265 -45.848910
2.751091 0 265 -45.848910
2.753653 0 265 -45.848910
2.755669 0 265 -45.848910
2.756851 0 265 -45.848910
2.758216 0 265 -45.848910
2.759720 0 265 -45.848910
2.760869 0 265 -45.848910
2.766050 0 265 -45.848910
2.767822 0 265 -45.848910
2.768986 0 265 -45.848910
2.770408 0 265 -45.848910
2.771777 0 265 -45.848910
2.774617 0 265 -45.848910
2.775958 0 265 -45.848910
2.778074 0 265 -45.848910
2.779985 0 265 -45.848910
2.781129 0 265 -45.848910
2.782523 0 265 -45.848910
2.785666 0 265 -45.848910
2.787125 0 265 -45.848910
2.788673 0 265 -45.848910
2.791079 0 265 -45.848910
2.792951 0 265 -45.848910
2.796118 0 265 -45.848910
2.797355 0 265 -45.848910
2.798648 0 265 -45.848910
2.800200 0 265 -45.848910
2.801352 0 265 -45.848910
2.803215 0 265 -45.848910
2.827041 0 265 -45.848910
2.829857 0 265 -45.848910
2.831129 0 265 -45.848910
2.832894 0 265 -45.848910
2.835126 0 265 -45.848910
2.836707 0 265 -45.848910
2.840049 0 265 -45.848910
2.841194 0 265 -45.848910
2.843053 0 265 -45.848910
2.845159 0 265 -45.848910
2.846578 0 265 -45.848910
2.848569 0 265 -45.848910
2.850089 0 265 -45.848910
