call to Robot/MoveCC
6.058266 0 654 -3.738437
6.070733 0 654 -3.738437
6.085964 0 660 -3.738437
6.121178 0 666 -3.738437
6.138655 0 666 -3.738437
6.201520 0 670 -3.738437
6.215869 0 670 -3.738437
6.229920 0 674 -3.738437
6.275284 0 681 -3.738437
6.284732 0 681 -3.738437
6.297366 0 680 -3.738437
6.308606 0 680 -3.738437
6.349830 0 693 -3.738437
6.381152 0 696 -3.738437
6.417822 0 698 -3.738437
6.430569 0 697 -3.738437
6.442657 0 697 -3.738437
6.456722 0 704 -3.738437
6.488063 0 706 -3.738437
6.524158 0 708 -3.738437
6.540599 0 708 -3.738437
6.574539 0 726 -3.738437
6.586486 0 726 -3.738437
6.599549 0 718 -3.738437
6.635583 0 726 -3.738437
6.692534 0 736 -3.738437
6.731885 0 742 -3.738437
6.746364 0 742 -3.738437
6.759378 0 742 -3.738437
6.771149 0 742 -3.738437
6.781785 0 742 -3.738437
6.817081 0 742 -3.738437
6.831235 0 742 -3.738437
6.846150 0 742 -3.738437
6.857766 0 742 -3.738437
6.891019 0 742 -3.738437
6.928492 0 742 -3.738437
6.946319 0 742 -3.738437
6.959476 0 742 -3.738437
6.974504 0 742 -3.738437
6.991961 1 742 17.134421
7.007673 1 742 18.705621
7.024723 1 760 20.410608
7.037324 1 760 21.670721
7.070196 1 757 24.957913
7.081091 1 754 26.047388
7.110512 1 778 28.989500
7.143028 1 765 32.241125
7.230070 1 766 40.945325
7.243533 0 766 21.618467
7.255879 0 794 21.618467
7.269415 0 794 21.618467
7.280450 0 800 21.618467
7.291609 0 800 21.618467
7.305483 0 796 21.618467
7.317424 0 796 21.618467
7.328689 0 801 21.618467
7.345407 0 801 21.618467
7.379706 0 810 21.618467
7.394637 0 810 21.618467
7.405624 0 808 21.618467
7.416726 0 808 21.618467
7.429231 0 810 21.618467
7.465370 0 812 21.618467
7.477103 0 816 21.618467
7.487527 0 816 21.618467
7.504276 0 796 21.618467
7.539213 0 818 21.618467
7.585605 0 831 21.618467
7.599325 0 831 21.618467
7.610129 0 835 21.618467
7.646362 0 832 21.618467
7.657801 0 816 21.618467
7.668614 0 816 21.618467
7.679910 0 816 21.618467
7.715886 0 834 21.618467
7.754695 0 843 21.618467
7.768012 -1 845 0.952640
7.780598 -1 845 -0.305964
7.815687 -1 849 -3.814864
7.850282 -1 831 -7.274410
7.861660 -1 831 -8.412189
7.874117 -1 857 -9.657914
7.888398 -1 857 -11.085969
7.907653 -1 856 -13.011452
7.940662 -1 863 -16.312364
7.955489 -1 865 -17.795064
7.967268 -1 865 -18.973027
8.005649 0 864 -0.892058
8.019211 0 864 -0.892058
8.030343 0 867 -0.892058
8.090665 0 877 -0.892058
8.126176 0 877 -0.892058
8.138688 0 883 -0.892058
8.179346 0 885 -0.892058
8.190204 0 885 -0.892058
8.204166 0 885 -0.892058
8.216608 0 891 -0.892058
8.229974 0 891 -0.892058
8.245708 0 893 -0.892058
8.260005 0 894 -0.892058
8.274517 0 894 -0.892058
