call to Robot/MoveCC
0.045396 0 31 0.000000
0.099872 0 31 0.000000
0.145965 -1 31 -22.304658
0.195167 -1 38 -27.224871
0.235959 -1 40 -31.304050
0.289365 -1 44 -36.644654
0.355132 0 49 -19.933010
0.396300 0 50 -19.933010
0.435823 0 58 -19.933010
0.486028 0 63 -19.933010
0.529781 0 67 -19.933010
0.579088 0 76 -19.933010
0.621418 0 77 -19.933010
0.665884 0 82 -19.933010
0.710759 0 86 -19.933010
0.748233 0 93 -19.933010
0.795878 0 94 -19.933010
0.841340 0 101 -19.933010
0.890159 1 103 2.507948
0.929696 1 109 6.461577
0.965911 1 113 10.083069
1.013155 1 122 14.807556
1.056127 1 130 19.104677
1.099717 1 130 23.463669
1.145481 1 137 28.040115
1.185096 1 138 32.001565
1.236133 1 145 37.105273
1.278872 1 149 41.379190
1.319480 1 149 45.440023
1.356162 1 158 49.108244
1.388121 1 157 52.304123
1.429594 1 166 56.451440
1.474143 0 166 38.678871
1.517817 0 173 38.678871
1.555096 0 174 38.678871
1.585537 0 175 38.678871
1.629373 0 179 38.678871
1.670893 0 183 38.678871
1.712307 0 184 38.678871
1.751284 0 189 38.678871
1.785869 0 191 38.678871
1.835279 0 198 38.678871
1.873981 -1 203 16.743735
1.909380 -1 211 13.203910
1.946295 -1 219 9.512398
1.987153 -1 228 5.426619
2.019975 -1 242 2.144369
2.065825 -1 241 -2.440590
2.103980 -1 237 -6.256090
2.145764 -1 241 -10.434498
2.189258 -1 241 -14.783940
2.226170 -1 247 -18.475115
2.286253 -1 249 -24.483448
2.327885 -1 259 -28.646681
2.370178 -1 263 -32.875910
2.414960 -1 271 -37.354140
2.448097 -1 273 -40.667831
2.496215 -1 278 -45.479610
2.537545 0 273 -27.546121
2.591388 0 279 -27.546121
2.639749 0 280 -27.546121
2.679202 0 286 -27.546121
2.720306 0 286 -27.546121
2.767360 0 290 -27.546121
2.811418 1 289 -5.343223
2.849048 1 296 -1.580160
2.895248 1 302 3.039844
2.935256 1 303 7.040585
2.979080 1 322 11.423015
3.009728 1 321 14.487848
3.056094 1 321 19.124381
3.098864 1 321 23.401431
3.135901 1 330 27.105085
3.177785 1 330 31.293485
3.213665 1 340 34.881494
3.249894 1 345 38.504444
3.289827 1 347 42.497669
3.331316 1 348 46.646560
3.374283 0 355 28.794933
3.414196 1 357 50.790571
3.459263 0 364 33.043940
3.505108 0 365 33.043940
3.541369 0 374 33.043940
3.587961 0 376 33.043940
3.628876 0 384 33.043940
3.664234 -1 384 11.276052
3.705254 -1 392 7.174031
3.744307 -1 399 3.268702
3.787964 -1 408 -1.097019
3.820071 -1 410 -4.307677
3.865744 -1 416 -8.874940
3.906220 -1 421 -12.922573
3.948096 -1 429 -17.110156
3.986176 -1 429 -20.918227
4.025885 -1 433 -24.889085
4.066185 0 437 -6.904077
4.100029 0 439 -6.904077
4.140149 0 439 -6.904077
4.181248 0 443 -6.904077
4.225873 0 446 -6.904077
4.260001 0 452 -6.904077
4.314089 0 454 -6.904077
4.350293 0 460 -6.904077
4.386167 0 462 -6.904077
4.429921 0 464 -6.904077
4.470242 0 464 -6.904077
4.508044 0 473 -6.904077
4.549961 0 479 -6.904077
4.586208 0 481 -6.904077
4.634292 0 483 -6.904077
4.679324 0 490 -6.904077
4.715770 0 496 -6.904077
4.755810 0 498 -6.904077
4.793973 0 498 -6.904077
4.835716 1 504 15.183090
4.877179 0 506 -2.743792
4.915958 1 510 19.195190
4.948145 0 510 0.804535
4.990258 1 519 22.910181
5.033120 1 523 27.196385
5.061232 1 525 30.007556
5.076118 1 527 31.496190
5.088285 1 527 32.712910
5.099905 1 534 33.874910
5.172584 0 542 17.508850
5.208693 0 544 17.508850
5.220891 0 542 17.508850
5.255079 0 546 17.508850
5.291009 0 546 17.508850
5.321278 0 555 17.508850
5.331369 0 555 17.508850
5.341536 0 555 17.508850
5.379469 0 561 17.508850
5.390883 0 563 17.508850
5.403622 0 563 17.508850
5.437585 0 562 17.508850
5.475617 0 563 17.508850
5.535167 0 578 17.508850
5.571426 0 573 17.508850
5.587092 0 582 17.508850
5.598610 0 582 17.508850
5.635498 0 586 17.508850
5.649274 0 581 17.508850
5.681289 0 590 17.508850
5.693983 0 590 17.508850
5.706856 0 595 17.508850
5.739595 0 597 17.508850
5.753913 0 599 17.508850
5.763938 0 599 17.508850
5.775042 0 598 17.508850
5.789779 0 598 17.508850
5.849766 0 605 17.508850
5.908264 0 618 17.508850
5.920264 0 616 17.508850
5.955032 0 614 17.508850
