call to Robot/MoveCC
8.843161 0 855 32.097063
8.879265 0 857 32.097063
8.913260 0 857 32.097063
8.954015 0 855 32.097063
8.990121 0 863 32.097063
9.024813 0 865 32.097063
9.060199 0 873 32.097063
9.101059 0 871 32.097063
9.134912 0 883 32.097063
9.174649 0 891 32.097063
9.210859 0 886 32.097063
9.245181 -1 901 -1.335104
9.285184 -1 899 -9.335762
9.324706 -1 913 -17.240071
9.365120 -1 915 -25.322904
9.409866 0 956 0.202529
9.446133 0 962 0.202529
9.484995 0 931 0.202529
9.515290 0 929 0.202529
9.558797 0 929 0.202529
9.600748 0 954 0.202529
9.643995 0 954 0.202529
9.680618 0 954 0.202529
9.729043 0 952 0.202529
9.761237 0 952 0.202529
9.800871 0 952 0.202529
9.840955 0 952 0.202529
9.880814 0 952 0.202529
9.920914 0 1008 0.202529
10.044791 0 1012 0.202529
10.079188 0 1012 0.202529
10.130349 0 1012 0.202529
10.163861 0 1012 0.202529
10.195169 0 1012 0.202529
10.223273 0 1012 0.202529
10.259013 0 1012 0.202529
10.303161 0 1012 0.202529
10.341185 0 1012 0.202529
10.380046 0 1012 0.202529
10.425255 0 1012 0.202529
10.461289 0 937 0.202529
10.502658 0 931 0.202529
10.544721 0 925 0.202529
10.581208 0 925 0.202529
10.614314 0 924 0.202529
10.654657 -1 933 -33.831812
10.700679 -1 933 -43.036204
10.731098 0 933 -16.078146
10.766292 -1 933 -49.597512
10.804224 0 933 -23.390742
10.835093 0 933 -23.390742
10.865204 -1 933 -56.401767
10.910503 0 933 -30.931725
10.944214 0 933 -30.931725
10.985251 0 933 -30.931725
11.021258 0 933 -30.931725
11.060784 0 933 -30.931725
11.104809 0 933 -30.931725
11.150231 0 933 -30.931725
11.189948 0 933 -30.931725
11.226388 0 933 -30.931725
11.265104 1 933 2.939896
11.310054 1 1016 11.929863
11.352683 1 1014 20.455688
11.398035 1 1028 29.525996
11.434926 2 758 70.593458
11.480170 2 1020 88.690809
11.525037 2 1001 106.637775
11.653754 2 1045 158.124575
11.694748 2 1046 174.522075
11.733279 2 1050 189.934492
11.780405 2 1045 208.784958
11.824608 2 1036 226.466192
11.865239 2 1042 242.718408
11.914111 2 1029 262.267442
11.944955 2 1028 274.604842
11.980901 2 1024 288.983525
12.024753 2 1020 306.524208
12.068897 2 1008 324.181858
12.194320 2 986 374.350909
12.223276 2 986 385.933375
12.269037 2 994 404.237792
call to Robot/Rotate
